device,framework,model,dtype,prompt_id,run_label,batch_size,input_tokens,max_new_tokens,model_load_ms,wall_ms_batch,wall_ms_per_request,output_tokens_batch,output_tokens_per_request,tokens_per_sec_per_request,peak_torch_memory_mb,gpu_mem_used_mb_avg,gpu_mem_used_mb_max,gpu_mem_total_mb_avg,gpu_mem_total_mb_max,power_w_avg,power_w_max,temperature_c_avg,temperature_c_max,gpu_util_pct_avg,gpu_util_pct_max,nvidia_samples
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_04,warm1,1,1024,16,1698.7110000009125,1033.620799998971,1033.620799998971,16,16,15.479564652739116,1752.32177734375,3735.0,3735.0,8151.0,8151.0,51.394999999999996,52.18,53.0,57.0,55.75,91.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_08,cold_after_load,1,1024,16,1698.7110000009125,1045.2279000001,1045.2279000001,16,16,15.307666395049798,1752.32177734375,3735.0,3735.0,8151.0,8151.0,54.5625,56.59,52.0,55.0,39.0,57.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_08,warm1,1,1024,16,1698.7110000009125,1009.8581000002014,1009.8581000002014,16,16,15.84381013530199,1752.32177734375,3735.0,3735.0,8151.0,8151.0,52.5525,53.47,48.75,50.0,18.25,24.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_10,cold_after_load,1,1024,16,1698.7110000009125,998.8217000009172,998.8217000009172,16,16,16.018875040445465,1752.32177734375,3735.0,3735.0,8151.0,8151.0,52.92,53.5,49.0,50.0,14.5,26.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_10,warm1,1,1024,16,1698.7110000009125,996.1303000000044,996.1303000000044,16,16,16.062155724005112,1752.32177734375,3735.0,3735.0,8151.0,8151.0,52.3525,53.5,49.0,50.0,14.0,26.0,4
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_01,cold_after_load,1,1024,64,1698.7110000009125,3544.496700000309,3544.496700000309,64,64,18.05616013128025,1752.32177734375,3735.0,3735.0,8151.0,8151.0,48.23857142857143,53.47,49.5,50.0,22.5,26.0,14
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_01,warm1,1,1024,64,1698.7110000009125,4368.110800000068,4368.110800000068,64,64,14.651642994037378,1752.32177734375,3735.0,3735.0,8151.0,8151.0,43.46058823529412,52.89,48.88235294117647,50.0,19.88235294117647,24.0,17
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_04,cold_after_load,1,1024,64,1698.7110000009125,3585.9870000003866,3585.9870000003866,64,64,17.847248191360734,1752.32177734375,3735.0,3735.0,8151.0,8151.0,44.91142857142857,48.82,50.42857142857143,56.0,31.142857142857142,85.0,14
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_04,warm1,1,1024,64,1698.7110000009125,3827.087499999834,3827.087499999834,64,64,16.722899594013143,1752.32177734375,3735.0,3735.0,8151.0,8151.0,44.89333333333333,53.52,49.333333333333336,50.0,21.866666666666667,25.0,15
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_08,cold_after_load,1,1024,64,1698.7110000009125,3510.4103999983636,3510.4103999983636,64,64,18.231486552122178,1752.32177734375,3735.0,3735.0,8151.0,8151.0,46.35642857142857,50.85,50.357142857142854,53.0,29.357142857142858,56.0,14
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_08,warm1,1,1024,64,1698.7110000009125,3530.2408000006835,3530.2408000006835,64,64,18.129074934488212,1752.32177734375,3735.0,3735.0,8151.0,8151.0,47.23714285714285,53.38,50.57142857142857,54.0,30.357142857142858,66.0,14
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_10,cold_after_load,1,1024,64,1698.7110000009125,3603.677699999025,3603.677699999025,64,64,17.75963483083332,1752.32177734375,3735.0,3735.0,8151.0,8151.0,47.065,52.95,51.0,58.0,33.214285714285715,91.0,14
RTX_5060_Ti_8GB,Transformers,C:\Users\Marce\Desktop\thor\test_cprofile_in_1060\Qwen3-0.6B,float16,edge_summary_10,warm1,1,1024,64,1698.7110000009125,3587.3797000003833,3587.3797000003833,64,64,17.84031949558982,1752.32177734375,3848.4285714285716,3883.0,8151.0,8151.0,47.88214285714286,54.41,50.142857142857146,51.0,27.785714285714285,35.0,14
