seed,strategy,phase,requests,joint_sla_rate,mean_latency_ms,mean_energy_j,q8_action_rate,reward,shift_fraction,shift_step
2029,q_online,post_shift,8000,0.904125,6478.801799466049,32.04808266308682,0.649375,0.5970148942423682,0.2,2000
2029,adaptive_linucb,post_shift,8000,0.889125,7426.6755733763075,36.99773004245626,0.956125,0.5334969065882811,0.2,2000
2029,linucb_online,post_shift,8000,0.890625,7590.036890370952,37.85222640240598,1.0,0.5269607776992916,0.2,2000
2029,greedy_sla_ewma,post_shift,8000,0.890375,7591.349002091822,37.85912811005775,1.0,0.5266532577198773,0.2,2000
2029,greedy_sla_stale,post_shift,8000,0.890625,7590.036890370952,37.85222640240598,1.0,0.5269607776992916,0.2,2000
2029,q_online,post_shift,5000,0.9036,6580.451452607089,32.57099940939224,0.6836,0.5909734227102768,0.5,5000
2029,adaptive_linucb,post_shift,5000,0.9036,7582.646201948178,37.80591693607014,0.9992,0.5406532407938195,0.5,5000
2029,linucb_online,post_shift,5000,0.9048,7565.846519355298,37.717179834741835,1.0,0.5424655958355187,0.5,5000
2029,greedy_sla_ewma,post_shift,5000,0.9044,7567.830086364418,37.727613397209794,1.0,0.5419912120726768,0.5,5000
2029,greedy_sla_stale,post_shift,5000,0.9048,7565.846519355298,37.717179834741835,1.0,0.5424655958355187,0.5,5000
2029,q_online,post_shift,2000,0.9085,6123.651703327541,30.188839061331773,0.571,0.6179292324875656,0.8,8000
2029,adaptive_linucb,post_shift,2000,0.9055,6884.237151061182,34.159801516813715,0.821,0.5769802330054181,0.8,8000
2029,linucb_online,post_shift,2000,0.909,7563.565531529133,37.7136573629353,1.0,0.5470524738342523,0.8,8000
2029,greedy_sla_ewma,post_shift,2000,0.9085,7568.237259433883,37.73823065171428,1.0,0.5463772840378243,0.8,8000
2029,greedy_sla_stale,post_shift,2000,0.909,7563.565531529133,37.7136573629353,1.0,0.5470524738342523,0.8,8000
2030,q_online,post_shift,8000,0.90475,6655.439901356703,32.97368432501039,0.701375,0.5889051576666131,0.2,2000
2030,adaptive_linucb,post_shift,8000,0.89575,7577.0645845268145,37.786754929607525,0.9995,0.5328341620447277,0.2,2000
2030,linucb_online,post_shift,8000,0.896625,7566.819391029875,37.73263820208453,1.0,0.5340880175399646,0.2,2000
2030,greedy_sla_ewma,post_shift,8000,0.896375,7568.168164684085,37.73973275150568,1.0,0.5337791228269154,0.2,2000
2030,greedy_sla_stale,post_shift,8000,0.896625,7566.819391029875,37.73263820208453,1.0,0.5340880175399646,0.2,2000
2030,q_online,post_shift,5000,0.8948,6744.930169759463,33.44122834403183,0.7168,0.575071398153252,0.5,5000
2030,adaptive_linucb,post_shift,5000,0.8938,7594.364694518135,37.87654641095748,0.9992,0.5301430753398187,0.5,5000
2030,linucb_online,post_shift,5000,0.8952,7577.210162823969,37.78594574114058,1.0,0.532199412822473,0.5,5000
2030,greedy_sla_ewma,post_shift,5000,0.8948,7578.725068237202,37.79391414361419,1.0,0.5317426038694767,0.5,5000
2030,greedy_sla_stale,post_shift,5000,0.8952,7577.210162823969,37.78594574114058,1.0,0.532199412822473,0.5,5000
2030,q_online,post_shift,2000,0.8935,6651.444799194209,32.93752837387841,0.696,0.5775122424402684,0.8,8000
2030,adaptive_linucb,post_shift,2000,0.887,6863.115443633207,34.05846809338344,0.7175,0.5590597571484814,0.8,8000
2030,linucb_online,post_shift,2000,0.8985,7584.0399444997365,37.80789744226401,1.0,0.5354273280160884,0.8,8000
2030,greedy_sla_ewma,post_shift,2000,0.8975,7589.147849498533,37.834765022557676,1.0,0.5342025187745685,0.8,8000
2030,greedy_sla_stale,post_shift,2000,0.8985,7584.0399444997365,37.80789744226401,1.0,0.5354273280160884,0.8,8000
2031,q_online,post_shift,8000,0.908125,6498.3829499736585,32.13875038225921,0.6595,0.6001789278958759,0.2,2000
2031,adaptive_linucb,post_shift,8000,0.891375,7596.342188921875,37.87485110718398,0.9995,0.5275308058604403,0.2,2000
2031,linucb_online,post_shift,8000,0.8925,7585.377469119925,37.81694820710794,1.0,0.529085734963583,0.2,2000
2031,greedy_sla_ewma,post_shift,8000,0.89225,7587.0266418941255,37.825622855900235,1.0,0.528769008433607,0.2,2000
2031,greedy_sla_stale,post_shift,8000,0.8925,7585.377469119925,37.81694820710794,1.0,0.529085734963583,0.2,2000
2031,q_online,post_shift,5000,0.9068,6740.6439629824345,33.40205627382441,0.7278,0.586818269803536,0.5,5000
2031,adaptive_linucb,post_shift,5000,0.9016,7581.423427999884,37.79326317282769,0.9992,0.538586208637031,0.5,5000
2031,linucb_online,post_shift,5000,0.9028,7564.21322664818,37.702377897343375,1.0,0.540436122877206,0.5,5000
2031,greedy_sla_ewma,post_shift,5000,0.9024,7566.312605401571,37.71342062958621,1.0,0.5399573961739539,0.5,5000
2031,greedy_sla_stale,post_shift,5000,0.9028,7564.21322664818,37.702377897343375,1.0,0.540436122877206,0.5,5000
2031,q_online,post_shift,2000,0.8855,6907.189295066059,34.23436116312643,0.7505,0.5568563994202022,0.8,8000
2031,adaptive_linucb,post_shift,2000,0.896,7617.339835661546,37.94117899636946,0.998,0.5318443164547649,0.8,8000
2031,linucb_online,post_shift,2000,0.9005,7572.073838474,37.702153566957,1.0,0.5380303583244621,0.8,8000
2031,greedy_sla_ewma,post_shift,2000,0.8995,7576.9597384673425,37.72785340092198,1.0,0.5368471370747118,0.8,8000
2031,greedy_sla_stale,post_shift,2000,0.9005,7572.073838474,37.702153566957,1.0,0.5380303583244621,0.8,8000
2032,q_online,post_shift,8000,0.907,6652.657875470108,32.944299391243796,0.6855,0.5914171312445947,0.2,2000
2032,adaptive_linucb,post_shift,8000,0.89725,7583.1055362776515,37.800151749171,0.9995,0.5340228101418905,0.2,2000
2032,linucb_online,post_shift,8000,0.898,7572.853115353575,37.746003015176306,1.0,0.5351572871072201,0.2,2000
2032,greedy_sla_ewma,post_shift,8000,0.897625,7574.803211117186,37.756260518892894,1.0,0.5346927571195738,0.2,2000
2032,greedy_sla_stale,post_shift,8000,0.898,7572.853115353575,37.746003015176306,1.0,0.5351572871072201,0.2,2000
2032,q_online,post_shift,5000,0.9122,6488.579995201661,32.095571961349115,0.645,0.604242972262312,0.5,5000
2032,adaptive_linucb,post_shift,5000,0.9004,7583.357590823841,37.81148850216623,0.9992,0.5373054315381803,0.5,5000
2032,linucb_online,post_shift,5000,0.902,7566.859824611513,37.72435775256968,1.0,0.5395522701210057,0.5,5000
2032,greedy_sla_ewma,post_shift,5000,0.9016,7569.584158510883,37.73868774888036,1.0,0.5390422955182697,0.5,5000
2032,greedy_sla_stale,post_shift,5000,0.902,7566.859824611513,37.72435775256968,1.0,0.5395522701210057,0.5,5000
2032,q_online,post_shift,2000,0.9,6600.0472862945735,32.694344362639995,0.6705,0.5863779550342497,0.8,8000
2032,adaptive_linucb,post_shift,2000,0.886,7391.371529966959,36.824359936018396,0.9415,0.5322920111465161,0.8,8000
2032,linucb_online,post_shift,2000,0.9025,7558.292765063823,37.69532841605299,1.0,0.5406904375385488,0.8,8000
2032,greedy_sla_ewma,post_shift,2000,0.902,7563.327039858706,37.72180870147407,1.0,0.5400016522337407,0.8,8000
2032,greedy_sla_stale,post_shift,2000,0.9025,7558.292765063823,37.69532841605299,1.0,0.5406904375385488,0.8,8000
2033,q_online,post_shift,8000,0.89775,6699.900451008687,33.198906807140126,0.697375,0.5794061357953355,0.2,2000
2033,adaptive_linucb,post_shift,8000,0.894125,7589.646905425149,37.84227989877408,0.9995,0.5306350079201049,0.2,2000
2033,linucb_online,post_shift,8000,0.895125,7578.746413245552,37.78471695878818,1.0,0.5320493922094164,0.2,2000
2033,greedy_sla_ewma,post_shift,8000,0.894875,7580.076932517399,37.7917154901581,1.0,0.5317494977367221,0.2,2000
2033,greedy_sla_stale,post_shift,8000,0.895125,7578.746413245552,37.78471695878818,1.0,0.5320493922094164,0.2,2000
2033,q_online,post_shift,5000,0.9094,6659.420176983945,32.982661811056765,0.7018,0.5933363186464233,0.5,5000
2033,adaptive_linucb,post_shift,5000,0.893,7600.654417327652,37.89837253769545,0.9992,0.5290302538373787,0.5,5000
2033,linucb_online,post_shift,5000,0.8944,7583.911460693335,37.80994274144382,1.0,0.5310750197869228,0.5,5000
2033,greedy_sla_ewma,post_shift,5000,0.8938,7586.844572960107,37.82537091196704,1.0,0.5303527936735509,0.5,5000
2033,greedy_sla_stale,post_shift,5000,0.8944,7583.911460693335,37.80994274144382,1.0,0.5310750197869228,0.5,5000
2033,q_online,post_shift,2000,0.8915,6595.99711749776,32.63894105925808,0.651,0.5785850067520373,0.8,8000
2033,adaptive_linucb,post_shift,2000,0.884,6233.406720437776,30.72488810413873,0.655,0.5866030775876787,0.8,8000
2033,linucb_online,post_shift,2000,0.9015,7580.045810077928,37.77174749395233,1.0,0.5387889448389326,0.8,8000
2033,greedy_sla_ewma,post_shift,2000,0.9005,7585.226761043151,37.79899929602941,1.0,0.5375640731693169,0.8,8000
2033,greedy_sla_stale,post_shift,2000,0.9015,7580.045810077928,37.77174749395233,1.0,0.5387889448389326,0.8,8000
2034,q_online,post_shift,8000,0.903125,6455.800398447233,31.91960541638013,0.64275,0.5966533900989766,0.2,2000
2034,adaptive_linucb,post_shift,8000,0.90025,7580.075880543942,37.791633933115634,0.9995,0.5372349411801548,0.2,2000
2034,linucb_online,post_shift,8000,0.900875,7570.061800354764,37.73873285587611,1.0,0.5382365423187364,0.2,2000
2034,greedy_sla_ewma,post_shift,8000,0.90075,7571.117660511546,37.74428668030079,1.0,0.5380670650119136,0.2,2000
2034,greedy_sla_stale,post_shift,8000,0.900875,7570.061800354764,37.73873285587611,1.0,0.5382365423187364,0.2,2000
2034,q_online,post_shift,5000,0.9092,6528.46048861826,32.29090201348068,0.677,0.599472647114066,0.5,5000
2034,adaptive_linucb,post_shift,5000,0.8908,7146.23750154629,35.5153628193943,0.8874,0.5487953845525071,0.5,5000
2034,linucb_online,post_shift,5000,0.8988,7579.055823018469,37.780019905801794,1.0,0.5358200767699373,0.5,5000
2034,greedy_sla_ewma,post_shift,5000,0.8986,7580.570728431701,37.787988308275395,1.0,0.5355632678169411,0.5,5000
2034,greedy_sla_stale,post_shift,5000,0.8988,7579.055823018469,37.780019905801794,1.0,0.5358200767699373,0.5,5000
2034,q_online,post_shift,2000,0.9025,6474.296169452953,31.997632287553994,0.6485,0.5955028917657432,0.8,8000
2034,adaptive_linucb,post_shift,2000,0.889,7618.573142999085,37.977030205421926,0.998,0.5245837097368229,0.8,8000
2034,linucb_online,post_shift,2000,0.893,7577.2581184905775,37.75880593237592,1.0,0.5301664273007798,0.8,8000
2034,greedy_sla_ewma,post_shift,2000,0.8925,7582.14401848392,37.7845057663409,1.0,0.5294832060510295,0.8,8000
2034,greedy_sla_stale,post_shift,2000,0.893,7577.2581184905775,37.75880593237592,1.0,0.5301664273007798,0.8,8000
2035,q_online,post_shift,8000,0.91575,6389.575886653352,31.568818102368724,0.636875,0.6134356812688325,0.2,2000
2035,adaptive_linucb,post_shift,8000,0.896375,7194.64744378633,35.7721260205084,0.904625,0.5519293571762658,0.2,2000
2035,linucb_online,post_shift,8000,0.899625,7565.820727784282,37.714377277013,1.0,0.5371196681868585,0.2,2000
2035,greedy_sla_ewma,post_shift,8000,0.899375,7567.151254165373,37.72137584577754,1.0,0.5368114576576859,0.2,2000
2035,greedy_sla_stale,post_shift,8000,0.899625,7565.820727784282,37.714377277013,1.0,0.5371196681868585,0.2,2000
2035,q_online,post_shift,5000,0.9014,6662.288545728852,32.9974833318674,0.7146,0.5846665837004054,0.5,5000
2035,adaptive_linucb,post_shift,5000,0.8962,6957.195496339172,34.53245957294762,0.843,0.5634757193313146,0.5,5000
2035,linucb_online,post_shift,5000,0.9006,7565.945400509073,37.717879170123204,1.0,0.5381647229894879,0.5,5000
2035,greedy_sla_ewma,post_shift,5000,0.9,7568.789699398873,37.73284018228355,1.0,0.5374336322811537,0.5,5000
2035,greedy_sla_stale,post_shift,5000,0.9006,7565.945400509073,37.717879170123204,1.0,0.5381647229894879,0.5,5000
2035,q_online,post_shift,2000,0.904,6833.696236053256,33.90550947751264,0.755,0.5786311457690447,0.8,8000
2035,adaptive_linucb,post_shift,2000,0.8965,7404.140256045988,36.88348540275621,0.948,0.5424662160705767,0.8,8000
2035,linucb_online,post_shift,2000,0.9025,7565.545156490131,37.72639071677184,1.0,0.5403094491562621,0.8,8000
2035,greedy_sla_ewma,post_shift,2000,0.9015,7570.431028046501,37.75209040115834,1.0,0.5390984183825087,0.8,8000
2035,greedy_sla_stale,post_shift,2000,0.9025,7565.545156490131,37.72639071677184,1.0,0.5403094491562621,0.8,8000
