scenario,treatment,baseline,metric,n_pairs,treatment_mean,baseline_mean,mean_delta,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p,paired_cohens_d
rtt_x1_5,q_learning,linucb,joint_sla_rate,10,0.9623999999999999,0.9629,-0.0005000000000000004,-0.0019000000000000017,0.0009000000000000008,1.0,-0.20701966780270628
rtt_x1_5,q_learning,linucb,mean_total_latency_ms,10,4479.487234407896,4492.962974276746,-13.47573986885045,-31.013008615638544,4.032190167117331,0.275390625,-0.4569693713988199
rtt_x1_5,q_learning,linucb,mean_infer_energy_j,10,18.71283316824901,18.781258978711044,-0.06842581046203264,-0.15815129236140132,0.021412589120928305,0.275390625,-0.450527150329569
rtt_x1_5,q_learning,linucb,mean_rl_reward,10,0.7473939335524973,0.7472317356651098,0.00016219788738736085,-0.0019689313445454366,0.002202680790627447,0.845703125,0.04528950765385894
rtt_x1_5,q_learning,greedy_sla,joint_sla_rate,10,0.9623999999999999,0.9634,-0.0010000000000000009,-0.0016000000000000014,-0.00040000000000000034,0.0390625,-0.9486832980505135
rtt_x1_5,q_learning,greedy_sla,mean_total_latency_ms,10,4479.487234407896,4481.692598576375,-2.2053641684785363,-10.431279201002907,6.011974440610111,0.6953125,-0.15524627830635424
rtt_x1_5,q_learning,greedy_sla,mean_infer_energy_j,10,18.71283316824901,18.724439443344245,-0.011606275095236285,-0.055913272472815176,0.03204594449289885,0.6953125,-0.15530967649717842
rtt_x1_5,q_learning,greedy_sla,mean_rl_reward,10,0.7473939335524973,0.748307433555176,-0.0009135000026786466,-0.0017416244023920149,-4.0928435640000024e-05,0.10546875,-0.639507752739597
tight_deadline,q_learning,dynamic_budget_q8,joint_sla_rate,10,0.9565999999999999,0.9536999999999999,0.0029000000000000024,0.0010000000000000009,0.004900000000000004,0.02734375,0.8930713276141683
tight_deadline,q_learning,dynamic_budget_q8,mean_total_latency_ms,10,4320.55935740678,6496.571925341241,-2176.012567934461,-2200.4460034088784,-2142.838133360156,0.001953125,-42.94065486249736
tight_deadline,q_learning,dynamic_budget_q8,mean_infer_energy_j,10,18.732120419061417,30.1701237533979,-11.43800333433648,-11.566653811819391,-11.262011322389084,0.001953125,-42.89372838873783
tight_deadline,q_learning,dynamic_budget_q8,mean_rl_reward,10,0.7036418276634554,0.5737166757844545,0.12992515187900092,0.12722942685359576,0.13252025281925606,0.001953125,28.890964611561113
tight_deadline,q_learning,hysteresis_rule,joint_sla_rate,10,0.9565999999999999,0.9556000000000001,0.0010000000000000009,-0.0010000000000000009,0.0030000000000000027,0.3828125,0.29138575870717925
tight_deadline,q_learning,hysteresis_rule,mean_total_latency_ms,10,4320.55935740678,5471.124701580795,-1150.565344174016,-1165.3982814107828,-1130.439212450517,0.001953125,-37.564822481549626
tight_deadline,q_learning,hysteresis_rule,mean_infer_energy_j,10,18.732120419061417,24.89843190628244,-6.166311487221021,-6.244776369769814,-6.0613882804141825,0.001953125,-38.07157584629766
tight_deadline,q_learning,hysteresis_rule,mean_rl_reward,10,0.7036418276634554,0.6376037828933117,0.06603804477014384,0.06325967014136978,0.06861593265179715,0.001953125,14.365172839303897
tight_deadline,q_learning,linucb,joint_sla_rate,10,0.9565999999999999,0.9571,-0.0005000000000000004,-0.0017000000000000014,0.0008000000000000007,0.46875,-0.23570226039551584
tight_deadline,q_learning,linucb,mean_total_latency_ms,10,4320.55935740678,4330.560414263048,-10.001056856268132,-27.77616230509013,6.8854044990445695,0.322265625,-0.33847309797928155
tight_deadline,q_learning,linucb,mean_infer_energy_j,10,18.732120419061417,18.7826586775061,-0.05053825844468278,-0.1432000160562279,0.03659104528429659,0.322265625,-0.33144017920428537
tight_deadline,q_learning,linucb,mean_rl_reward,10,0.7036418276634554,0.7035411326966848,0.00010069496677057588,-0.0015029705134197654,0.0021089869315704837,0.76953125,0.032095561534614264
tight_deadline,q_learning,greedy_sla,joint_sla_rate,10,0.9565999999999999,0.9578999999999999,-0.0013000000000000012,-0.003300000000000003,0.0008000000000000007,0.30078125,-0.378622932698138
tight_deadline,q_learning,greedy_sla,mean_total_latency_ms,10,4320.55935740678,4319.023936130156,1.5354212766244018,-6.99044554862559,10.125741858251411,0.4921875,0.10386014674576188
tight_deadline,q_learning,greedy_sla,mean_infer_energy_j,10,18.732120419061417,18.724439443344245,0.007680975717173055,-0.037146541144936596,0.05515928434277538,0.4921875,0.09945667989497761
tight_deadline,q_learning,greedy_sla,mean_rl_reward,10,0.7036418276634554,0.7050594290524067,-0.001417601388951395,-0.0033873062355717987,0.000613236815149228,0.232421875,-0.40450077212438995
